20759,Trinh Van Hai,K51CB,A
29606,Dang Manh Hung,K51CB,A
22674,Vu Van Bang,K51CB,B
20067,Nguyen Van Thuan,K51CB,C
32042,Nguyen Dinh Tuan,K51CB,B
30171,Duong Van Truong,K51CB,A
12540,Nguyen Dinh Hung,K51CB,B
18948,Tran Sy Quyet,K51CB,B
14716,Pham Van Lam,K51CB,C
26174,Nguyen Van Nam,K51CB,B
17996,Nguyen Van Tiep,K52CC,C
18789,Nguyen Thi Ha,K52CC,A
24743,Nguyen Trung Hieu,K52CC,B
17830,Vu Viet Anh,K52CC,A
25443,Nguyen Tuan Anh,K52CC,A
14106,Trinh Van Hai,K52CC,B
13673,Dang Manh Hung,K52CC,C
16086,Vu Van Bang,K52CC,B
11567,Nguyen Van Thuan,K52CC,A
12500,Nguyen Dinh Tuan,K52CC,B
22846,Duong Van Truong,K52CC,B
32162,Nguyen Dinh Hung,K52CA,C
11671,Tran Quang Linh,K52CA,B
22298,Nguyen The Quang,K52CA,C
28774,Nguyen Tuan Anh,K52CA,A
23085,Pham Huy Hung,K52CA,B
32628,Nguyen Van Truong,K52CA,A
14248,Pham Van Lam,K52CA,B
24382,Nguyen Van Nam,K52CA,C
31236,Nguyen Van Tiep,K52CA,B
24076,Nguyen Thi Ha,K52CA,A
11580,Nguyen Trung Hieu,K52CA,B
30071,Vu Viet Anh,K52CA,B
